id,shiftDate,timeIn,timeOut,shiftType,largestTip,smallestTip,stiffed,bwl,sales,tipout,totalWalkedWith,tipPercent,ppa,comments,breakthroughs,isReal,createdAt,updatedAt,JobId,UserId
5000,1/21/2017,11:00:00,19:15:00,double,23,4,0,17,1282,76.92,141.02,16,51,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5001,1/15/2017,11:00:00,19:15:00,double,29,10,0,10,500,40,40,16,48,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5002,1/14/2017,11:00:00,19:15:00,double,23,12,0,10,1188,71.28,185.33,19,44,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5003,1/12/2017,11:00:00,19:15:00,double,54,9,0,11,1054,84.32,147.56,22,40,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5004,1/8/2017,11:00:00,19:15:00,double,56,11,0,11,668,53.44,72.14,17,54,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5005,1/7/2017,11:00:00,19:15:00,double,41,11,0,18,1129,90.32,90.32,16,47,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5006,1/6/2017,11:00:00,19:15:00,double,21,14,0,9,1240,74.4,148.8,18,43,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5007,1/5/2017,11:00:00,19:15:00,double,46,13,0,12,922,73.76,132.77,20,50,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5008,1/4/2017,11:00:00,19:15:00,double,48,8,0,7,735,44.1,97.02,17,48,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5009,1/1/2017,11:00:00,19:15:00,double,24,11,0,12,917,73.36,91.7,18,34,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5010,12/31/2016,11:00:00,19:15:00,double,30,7,0,18,1388,97.16,152.68,18,41,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5011,12/30/2016,11:00:00,19:15:00,double,60,9,0,7,1059,63.54,203.33,22,54,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5012,12/29/2016,11:00:00,19:15:00,double,52,13,0,5,626,50.08,96.4,22,42,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5013,12/28/2016,11:00:00,19:15:00,double,48,5,0,6,611,48.88,73.32,18,37,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5014,12/25/2016,11:00:00,19:15:00,double,31,9,0,13,1065,74.55,175.73,22,31,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5015,12/24/2016,11:00:00,19:15:00,double,29,8,0,14,1417,113.36,221.05,21,55,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5016,12/23/2016,11:00:00,19:15:00,double,47,5,0,16,1345,107.6,121.05,17,46,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5017,12/22/2016,11:00:00,19:15:00,double,52,7,0,11,1122,89.76,134.64,20,42,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5018,12/21/2016,11:00:00,19:15:00,double,28,7,0,12,462,32.34,55.44,17,43,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5019,12/18/2016,11:00:00,19:15:00,double,22,12,0,7,939,75.12,112.68,18,48,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5020,12/17/2016,11:00:00,19:15:00,double,31,13,0,11,1429,114.32,188.63,19,50,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5021,12/16/2016,11:00:00,19:15:00,double,26,8,0,14,765,45.9,76.5,16,52,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5022,12/15/2016,11:00:00,19:15:00,double,46,9,0,12,444,26.64,58.61,17,42,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5023,12/14/2016,11:00:00,19:15:00,double,41,9,1,12,886,70.88,124.04,22,41,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5024,12/11/2016,11:00:00,19:15:00,double,24,13,0,8,1129,67.74,135.48,16,48,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5025,12/10/2016,11:00:00,19:15:00,double,35,10,0,8,1501,105.07,210.14,21,56,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5026,12/9/2016,11:00:00,19:15:00,double,23,12,0,15,898,62.86,107.76,19,52,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5027,12/8/2016,11:00:00,19:15:00,double,58,10,0,10,769,61.52,84.59,18,39,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5028,12/7/2016,11:00:00,19:15:00,double,29,4,0,9,539,37.73,80.85,22,50,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5029,12/4/2016,11:00:00,19:15:00,double,35,11,0,13,1012,80.96,145.73,20,48,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5030,12/3/2016,11:00:00,19:15:00,double,42,9,0,14,982,68.74,162.03,22,44,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5031,12/2/2016,11:00:00,19:15:00,double,49,4,0,16,1278,76.68,127.8,16,41,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5032,12/1/2016,11:00:00,19:15:00,double,31,4,0,10,441,30.87,44.1,17,44,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5033,11/30/2016,11:00:00,19:15:00,double,39,12,0,5,488,34.16,73.2,22,36,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5034,11/27/2016,11:00:00,19:15:00,double,32,9,0,7,591,47.28,52.01,16,50,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5035,11/26/2016,11:00:00,19:15:00,double,21,4,0,12,1535,92.1,219.51,19,58,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5036,11/25/2016,11:00:00,19:15:00,double,60,12,0,16,906,63.42,97.85,16,44,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5037,11/24/2016,11:00:00,19:15:00,double,21,8,0,7,1119,78.33,201.42,22,44,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5038,11/23/2016,11:00:00,19:15:00,double,20,13,0,9,844,67.52,131.66,21,44,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5039,11/20/2016,11:00:00,19:15:00,double,53,13,0,10,753,45.18,112.95,21,54,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5040,11/19/2016,11:00:00,19:15:00,double,59,14,0,16,1372,109.76,148.18,17,50,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5041,11/18/2016,11:00:00,19:15:00,double,31,5,0,13,1283,102.64,183.47,21,47,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5042,11/17/2016,11:00:00,19:15:00,double,35,14,0,8,1014,81.12,109.51,17,40,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5043,11/16/2016,11:00:00,19:15:00,double,41,13,0,11,1178,82.46,169.63,19,41,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5044,11/13/2016,11:00:00,19:15:00,double,45,5,0,13,1075,64.5,141.9,17,38,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5045,11/12/2016,11:00:00,19:15:00,double,42,4,0,18,810,64.8,115.83,21,48,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5046,11/11/2016,11:00:00,19:15:00,double,32,5,0,12,714,57.12,85.68,18,53,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5047,11/10/2016,11:00:00,19:15:00,double,23,5,0,5,741,44.46,111.15,21,38,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5048,11/9/2016,11:00:00,19:15:00,double,44,6,0,9,873,69.84,136.19,21,41,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5049,11/6/2016,11:00:00,19:15:00,double,57,4,0,6,568,45.44,45.44,16,39,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5050,11/5/2016,11:00:00,19:15:00,double,37,10,0,16,1235,74.1,177.84,18,46,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5051,11/4/2016,11:00:00,19:15:00,double,58,4,0,14,600,36,93.6,19,40,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5052,11/3/2016,11:00:00,19:15:00,double,36,5,0,6,639,51.12,89.46,22,42,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5053,11/2/2016,11:00:00,19:15:00,double,36,5,0,8,537,37.59,59.07,18,36,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5054,10/30/2016,11:00:00,19:15:00,double,56,9,0,12,1048,73.36,149.86,20,31,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5055,10/29/2016,11:00:00,19:15:00,double,60,15,0,11,1359,81.54,194.34,19,54,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5056,10/28/2016,11:00:00,19:15:00,double,23,13,0,7,1329,93.03,160.81,18,55,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5057,10/27/2016,11:00:00,19:15:00,double,25,14,0,11,618,49.44,88.37,21,37,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5058,10/26/2016,11:00:00,19:15:00,double,53,11,0,6,830,66.4,116.2,22,42,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5059,10/23/2016,11:00:00,19:15:00,double,40,13,0,13,1213,97.04,157.69,21,45,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5060,10/22/2016,11:00:00,19:15:00,double,37,9,0,14,1017,71.19,183.06,22,55,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5061,10/21/2016,11:00:00,19:15:00,double,27,9,0,15,751,45.06,90.12,16,50,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5062,10/20/2016,11:00:00,19:15:00,double,51,13,0,12,489,34.23,73.35,22,43,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5063,10/19/2016,11:00:00,19:15:00,double,26,8,0,10,902,72.16,140.71,21,42,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
5064,10/16/2016,11:00:00,19:15:00,double,35,8,0,9,1057,84.56,93.02,16,48,None,None,0,2/26/2017 18:57,2/26/2017 18:57,1,1
