id,shiftDate,timeIn,timeOut,shiftType,largestTip,smallestTip,stiffed,bwl,sales,tipout,totalWalkedWith,tipPercent,ppa,comments,breakthroughs,isReal,createdAt,updatedAt,JobId,UserId
5000,2017-01-21,11:00:00,19:15:00,double,23,4,0,17,1282,76.92,141.02,16,51,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5001,2017-01-15,11:00:00,19:15:00,double,29,10,0,10,500,40,40,16,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5002,2017-01-14,11:00:00,19:15:00,double,23,12,0,10,1188,71.28,185.33,19,44,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5003,2017-01-12,11:00:00,19:15:00,double,54,9,0,11,1054,84.32,147.56,22,40,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5004,2017-01-08,11:00:00,19:15:00,double,56,11,0,11,668,53.44,72.14,17,54,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5005,2017-01-07,11:00:00,19:15:00,double,41,11,0,18,1129,90.32,90.32,16,47,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5006,2017-01-06,11:00:00,19:15:00,double,21,14,0,9,1240,74.4,148.8,18,43,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5007,2017-01-05,11:00:00,19:15:00,double,46,13,0,12,922,73.76,132.77,20,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5008,2017-01-04,11:00:00,19:15:00,double,48,8,0,7,735,44.1,97.02,17,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5009,2017-01-01,11:00:00,19:15:00,double,24,11,0,12,917,73.36,91.7,18,34,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5010,2016-12-31,11:00:00,19:15:00,double,30,7,0,18,1388,97.16,152.68,18,41,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5011,2016-12-30,11:00:00,19:15:00,double,60,9,0,7,1059,63.54,203.33,22,54,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5012,2016-12-29,11:00:00,19:15:00,double,52,13,0,5,626,50.08,96.4,22,42,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5013,2016-12-28,11:00:00,19:15:00,double,48,5,0,6,611,48.88,73.32,18,37,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5014,2016-12-25,11:00:00,19:15:00,double,31,9,0,13,1065,74.55,175.73,22,31,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5015,2016-12-24,11:00:00,19:15:00,double,29,8,0,14,1417,113.36,221.05,21,55,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5016,2016-12-23,11:00:00,19:15:00,double,47,5,0,16,1345,107.6,121.05,17,46,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5017,2016-12-22,11:00:00,19:15:00,double,52,7,0,11,1122,89.76,134.64,20,42,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5018,2016-12-21,11:00:00,19:15:00,double,28,7,0,12,462,32.34,55.44,17,43,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5019,2016-12-18,11:00:00,19:15:00,double,22,12,0,7,939,75.12,112.68,18,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5020,2016-12-17,11:00:00,19:15:00,double,31,13,0,11,1429,114.32,188.63,19,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5021,2016-12-16,11:00:00,19:15:00,double,26,8,0,14,765,45.9,76.5,16,52,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5022,2016-12-15,11:00:00,19:15:00,double,46,9,0,12,444,26.64,58.61,17,42,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5023,2016-12-14,11:00:00,19:15:00,double,41,9,1,12,886,70.88,124.04,22,41,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5024,2016-12-11,11:00:00,19:15:00,double,24,13,0,8,1129,67.74,135.48,16,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5025,2016-12-10,11:00:00,19:15:00,double,35,10,0,8,1501,105.07,210.14,21,56,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5026,2016-12-09,11:00:00,19:15:00,double,23,12,0,15,898,62.86,107.76,19,52,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5027,2016-12-08,11:00:00,19:15:00,double,58,10,0,10,769,61.52,84.59,18,39,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5028,2016-12-07,11:00:00,19:15:00,double,29,4,0,9,539,37.73,80.85,22,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5029,2016-12-04,11:00:00,19:15:00,double,35,11,0,13,1012,80.96,145.73,20,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5030,2016-12-03,11:00:00,19:15:00,double,42,9,0,14,982,68.74,162.03,22,44,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5031,2016-12-02,11:00:00,19:15:00,double,49,4,0,16,1278,76.68,127.8,16,41,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5032,2016-12-01,11:00:00,19:15:00,double,31,4,0,10,441,30.87,44.1,17,44,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5033,2016-11-30,11:00:00,19:15:00,double,39,12,0,5,488,34.16,73.2,22,36,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5034,2016-11-27,11:00:00,19:15:00,double,32,9,0,7,591,47.28,52.01,16,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5035,2016-11-26,11:00:00,19:15:00,double,21,4,0,12,1535,92.1,219.51,19,58,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5036,2016-11-25,11:00:00,19:15:00,double,60,12,0,16,906,63.42,97.85,16,44,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5037,2016-11-24,11:00:00,19:15:00,double,21,8,0,7,1119,78.33,201.42,22,44,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5038,2016-11-23,11:00:00,19:15:00,double,20,13,0,9,844,67.52,131.66,21,44,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5039,2016-11-20,11:00:00,19:15:00,double,53,13,0,10,753,45.18,112.95,21,54,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5040,2016-11-19,11:00:00,19:15:00,double,59,14,0,16,1372,109.76,148.18,17,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5041,2016-11-18,11:00:00,19:15:00,double,31,5,0,13,1283,102.64,183.47,21,47,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5042,2016-11-17,11:00:00,19:15:00,double,35,14,0,8,1014,81.12,109.51,17,40,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5043,2016-11-16,11:00:00,19:15:00,double,41,13,0,11,1178,82.46,169.63,19,41,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5044,2016-11-13,11:00:00,19:15:00,double,45,5,0,13,1075,64.5,141.9,17,38,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5045,2016-11-12,11:00:00,19:15:00,double,42,4,0,18,810,64.8,115.83,21,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5046,2016-11-11,11:00:00,19:15:00,double,32,5,0,12,714,57.12,85.68,18,53,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5047,2016-11-10,11:00:00,19:15:00,double,23,5,0,5,741,44.46,111.15,21,38,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5048,2016-11-09,11:00:00,19:15:00,double,44,6,0,9,873,69.84,136.19,21,41,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5049,2016-11-06,11:00:00,19:15:00,double,57,4,0,6,568,45.44,45.44,16,39,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5050,2016-11-05,11:00:00,19:15:00,double,37,10,0,16,1235,74.1,177.84,18,46,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
